id,group,ComprehensionCheck,SAPearson,SAKoelle,ConfidenceKoelle,Gender,Age,SAMonteroPublic,SAMonteroHome,LParking,LCarpark,LServicearea,LPavement,LHome,LDriving,LPassenger,LPub,LWorkplace,AAlone,APartner,AFriends,AColleagues,AStrangers,AFamily
183,secretive,secretive,5,7,7,femal,41,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
184,suspenseful,suspenseful,5,7,7,male,30,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
185,magical,magical,5,7,7,femal,23,5,5,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5
186,magical,magical,5,7,7,femal,35,6,6,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5
187,secretive,secretive,5,7,6,femal,30,6,6,4,4,4,4,4,3,3,4,4,2,5,4,4,2,5
189,suspenseful,suspenseful,4,6,3,femal,31,3,6,4,4,3,4,5,6,6,2,6,4,4,4,6,3,4
190,secretive,secretive,5,7,7,femal,54,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
191,secretive,secretive,5,7,6,femal,39,6,6,4,4,3,4,4,6,6,3,4,4,4,4,4,4,4
192,suspenseful,suspenseful,5,5,5,male,46,5,5,4,4,4,4,5,6,6,6,5,5,5,5,4,3,5
193,suspenseful,suspenseful,5,7,7,femal,36,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
194,suspenseful,suspenseful,5,7,7,femal,45,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
195,suspenseful,suspenseful,5,7,7,femal,37,6,6,5,5,5,5,5,6,6,5,5,6,5,5,5,5,5
196,expressive,expressive,5,7,7,male,23,5,5,5,5,5,5,5,2,6,6,5,4,5,5,3,3,5
197,magical,magical,5,7,5,femal,36,5,5,4,4,4,4,4,6,6,6,4,5,5,5,5,5,5
198,expressive,expressive,5,7,7,femal,61,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
199,secretive,secretive,5,7,7,femal,37,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,4,5
200,secretive,secretive,5,6,6,male,64,5,5,5,5,5,4,5,6,6,6,4,5,4,5,4,4,5
201,suspenseful,suspenseful,5,7,7,femal,51,5,6,5,5,5,4,5,6,6,6,5,5,5,5,5,4,5
202,secretive,secretive,4,6,6,male,33,6,6,4,4,5,4,4,2,1,4,4,5,5,3,5,4,5
203,magical,magical,5,7,7,femal,22,6,6,1,1,1,1,1,6,6,6,1,5,5,5,5,5,5
204,expressive,expressive,5,7,7,femal,26,6,6,5,5,4,4,5,6,6,4,5,5,5,5,5,4,5
